S/N,Gender,Age,Location,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,health,absences,Score
266,F,12,R,LE3,T,1,1,2,3,0,no,no,no,yes,yes,yes,yes,4,3,5,4,44
267,F,12,U,LE3,A,4,2,1,2,0,no,yes,no,yes,yes,yes,no,4,3,4,4,43
268,M,12,U,LE3,T,4,3,2,2,0,no,no,no,yes,yes,yes,yes,2,5,5,8,45
269,M,12,R,LE3,A,4,4,2,2,0,no,yes,no,no,yes,yes,yes,3,3,4,0,36
270,M,11,U,LE3,T,4,3,1,1,0,no,no,no,yes,no,yes,yes,5,4,3,7,43
271,M,11,U,GT3,T,4,4,1,1,0,no,no,yes,yes,yes,yes,yes,5,3,5,4,44
272,F,12,U,GT3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,yes,5,3,5,2,34
273,M,12,R,GT3,T,1,1,2,3,0,no,no,no,no,no,yes,yes,4,3,1,2,42
274,F,12,U,GT3,T,3,3,2,3,0,no,yes,no,no,yes,yes,yes,4,2,5,10,33
275,F,12,U,GT3,T,1,1,1,2,0,yes,no,no,no,no,yes,no,4,3,4,10,29
276,F,13,U,GT3,T,2,1,2,3,0,no,yes,no,no,no,yes,yes,4,4,3,10,33
277,M,11,U,GT3,T,2,1,3,1,0,no,no,no,no,yes,yes,yes,4,3,4,7,47
278,F,12,U,GT3,T,1,1,1,2,0,no,yes,no,no,yes,yes,no,4,3,5,4,32
279,M,12,U,GT3,T,2,3,2,1,0,no,no,no,no,yes,yes,yes,5,2,2,2,34
280,M,17,U,GT3,T,3,1,1,1,3,no,no,no,no,no,no,yes,5,4,1,12,20
281,M,13,R,LE3,T,3,3,1,2,0,no,yes,no,no,yes,yes,yes,4,3,5,8,29
282,M,11,U,GT3,T,0,2,1,1,0,no,no,no,no,no,yes,yes,4,3,5,0,34
283,M,13,U,GT3,T,3,2,2,1,0,no,no,no,no,yes,no,yes,4,4,5,8,22
284,M,11,U,GT3,T,3,3,3,2,1,yes,yes,no,no,no,yes,yes,5,3,2,4,30
285,M,13,U,GT3,T,2,1,1,1,2,no,no,no,no,no,no,yes,3,2,5,4,21
286,M,11,R,GT3,T,2,1,2,1,0,no,no,no,yes,no,yes,no,3,3,3,2,39
287,M,12,R,GT3,T,2,1,1,1,0,no,no,no,no,no,yes,yes,4,4,5,0,37
288,M,12,U,LE3,T,1,1,2,1,1,no,yes,no,yes,yes,yes,yes,4,4,5,0,29
289,F,13,U,LE3,A,2,1,1,2,0,no,yes,no,no,no,yes,yes,4,3,5,2,37
290,F,12,U,LE3,T,4,2,1,4,0,no,yes,no,yes,yes,yes,yes,4,2,4,2,46
291,F,14,U,GT3,T,2,2,1,2,0,no,yes,no,no,yes,yes,yes,4,3,5,0,31
292,M,13,U,LE3,T,2,1,3,2,1,no,no,no,yes,no,no,yes,4,4,5,4,32
293,F,12,R,GT3,T,4,2,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,5,2,37
294,F,13,U,LE3,T,1,1,1,3,0,no,yes,no,no,no,yes,no,4,4,3,4,37
295,F,13,R,GT3,T,2,2,1,2,0,yes,no,no,no,yes,yes,no,3,2,5,4,35
296,M,14,U,LE3,A,4,3,1,2,0,no,yes,no,no,yes,yes,yes,4,3,1,4,38
297,M,13,U,GT3,T,2,1,1,2,0,no,no,no,yes,yes,yes,yes,5,2,4,2,48
298,M,12,R,GT3,T,2,2,2,1,0,no,no,no,no,no,no,no,5,2,4,0,29
299,F,12,U,LE3,T,2,2,1,4,0,no,no,no,yes,yes,yes,yes,3,4,2,2,33
300,F,15,R,GT3,T,2,1,2,2,0,no,yes,yes,yes,yes,no,yes,1,2,2,8,34
301,F,13,U,GT3,T,4,3,1,2,0,no,yes,no,no,yes,yes,yes,3,1,2,2,45
302,M,13,U,GT3,T,4,3,1,2,0,no,yes,no,no,no,yes,yes,4,3,3,2,31
303,M,13,R,GT3,T,3,2,1,3,0,no,no,no,yes,no,yes,no,5,3,3,2,33
304,F,12,U,GT3,T,3,3,1,3,0,no,no,no,yes,no,yes,no,3,2,4,2,40
305,F,13,U,GT3,T,2,2,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,3,0,36
306,M,12,U,GT3,T,2,2,2,1,0,no,no,no,no,yes,no,yes,4,4,4,8,25
307,M,13,R,LE3,A,3,4,2,2,0,no,yes,no,yes,yes,yes,yes,4,2,1,6,47
308,M,12,U,GT3,T,3,1,1,2,0,no,no,no,yes,yes,yes,yes,5,4,5,0,36
309,F,13,R,GT3,T,4,4,2,2,0,no,no,no,yes,yes,yes,yes,4,3,4,8,33
310,M,13,U,GT3,T,4,2,1,2,0,no,yes,no,yes,yes,yes,yes,5,4,5,4,36
311,F,13,R,GT3,T,2,1,2,2,0,no,yes,no,no,yes,no,yes,4,3,3,12,27
312,F,14,U,GT3,T,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,5,16,35
313,F,13,U,GT3,T,2,3,1,4,0,no,yes,no,yes,yes,yes,yes,4,5,2,10,48
314,F,13,U,LE3,T,1,1,2,2,0,no,yes,no,no,no,yes,no,4,4,3,2,39
315,M,12,R,GT3,T,1,2,1,2,0,no,yes,no,yes,no,yes,no,3,5,1,2,51
316,F,13,U,GT3,T,2,1,1,2,0,no,yes,no,no,yes,yes,yes,4,2,1,8,43
317,F,12,U,GT3,T,2,4,2,2,0,no,yes,no,no,yes,yes,yes,4,3,1,6,47
318,F,12,U,LE3,T,2,2,2,2,0,yes,yes,no,no,yes,yes,yes,4,4,5,6,36
319,F,13,R,GT3,A,3,2,2,2,0,no,no,no,no,no,no,yes,4,1,5,15,31
320,M,13,U,GT3,T,4,4,2,1,0,no,no,no,yes,yes,yes,yes,3,2,3,6,35
321,F,13,U,GT3,T,4,4,1,2,1,yes,yes,no,yes,yes,yes,yes,2,4,4,2,39
322,F,12,U,GT3,T,2,2,3,3,0,no,yes,no,no,yes,yes,yes,4,2,1,8,43
323,F,14,R,GT3,T,3,2,1,2,1,yes,yes,no,no,yes,no,yes,3,3,3,0,27
324,M,13,U,LE3,T,4,3,2,1,0,no,no,no,yes,yes,yes,yes,4,2,1,0,30
325,M,13,U,GT3,T,1,2,2,1,0,no,no,no,no,no,no,yes,3,4,4,10,31
